Intercept SE,Slope SE,310 nm,320 nm,330 nm,340 nm
none,none,0.933715528071,0.667131748453,0.72082950506,0.673037599608
none,plus,0.931604364289,0.676437439239,0.718502085776,0.672384705561
none,minus,0.935798448056,0.657847944248,0.723130571097,0.673666411308
plus,none,0.93078425322,0.679539160265,0.718138633038,0.672478498945
plus,plus,0.928632807834,0.688876681784,0.715773049065,0.67179071855
plus,minus,0.932909361778,0.670223720565,0.720479439037,0.673143451401
minus,none,0.936583567767,0.654769366284,0.723460506085,0.673542541296
minus,plus,0.934515462198,0.664043531145,0.721173519944,0.67292634014
minus,minus,0.938621382959,0.645516886214,0.725719452834,0.674133316814
