Ex LUT Splitting,Em LUT Splitting,310 nm,320 nm,330 nm,340 nm
none,none,0.933715528071,0.667131748453,0.72082950506,0.673037599608
none,even,0.950275485556,0.666486404332,0.720330542506,0.677110096434
none,odd,0.922177888982,0.66790411901,0.720106726465,0.668716805977
even,none,0.933715528071,0.667131748453,0.72082950506,0.673037599608
even,even,0.950275485556,0.666486404332,0.720330542506,0.677110096434
even,odd,0.922177888982,0.66790411901,0.720106726465,0.668716805977
odd,none,0.933715528071,0.667131748453,0.72082950506,0.673037599608
odd,even,0.950275485556,0.666486404332,0.720330542506,0.677110096434
odd,odd,0.922177888982,0.66790411901,0.720106726465,0.668716805977
