Beginning of Correction Region,310 nm Ratio,320 nm Ratio,330 nm Ratio,340 nm Ratio,310 nm,320 nm,330 nm,340 nm
350,1.09971241004,-458.343743673,-3.30619888128,-2.25344573818,0.592168487571,0.593492244361,0.674912445187,0.636869050755
352,1.07038973889,-447.018961521,-3.24293651651,-2.20391248265,0.592168487571,0.594684849797,0.680133392281,0.639933098222
354,1.02216743719,-432.578076991,-3.1523497793,-2.13747367664,0.592168487571,0.602622482754,0.692324891458,0.649921492211
356,0.973713042579,-420.57076522,-3.0472490353,-2.06888831231,0.592168487571,0.615050760408,0.702545649619,0.660371351728
358,0.920451768737,-402.310565134,-2.9252528638,-1.97768206212,0.592168487571,0.622390947857,0.713444122471,0.667786451206
360,0.846614517748,-382.255609554,-2.79013831643,-1.88804650607,0.592168487571,0.642940853278,0.739839661961,0.693121134724
362,0.780648257597,-367.004325558,-2.64666092774,-1.80129462475,0.592168487571,0.669450784185,0.761097857129,0.717152511805
364,0.737931432042,-348.6646067,-2.50660260636,-1.70735296338,0.592168487571,0.672813537048,0.76254778759,0.719100298076
366,0.67894632092,-331.808146349,-2.36388193423,-1.62534221334,0.592168487571,0.69591223411,0.781606082078,0.74403187447
368,0.626845857744,-315.153078077,-2.24642514408,-1.54216903517,0.592168487571,0.715918622175,0.804505058281,0.764633610243
370,0.540960479291,-298.091491996,-2.12105185959,-1.45015245098,0.592168487571,0.784669747486,0.880203997906,0.833163600808
372,0.502539090068,-282.170731067,-2.00230063739,-1.36924188118,0.592168487571,0.799548809024,0.894451969012,0.846822699446
374,0.436132455591,-267.895990014,-1.88139803141,-1.28286671879,0.592168487571,0.874682973457,0.968411340274,0.914208589215
376,0.366548222605,-248.473226812,-1.76049121037,-1.20012600882,0.592168487571,0.965275644719,1.07820249147,1.01760186753
378,0.328850432905,-228.187809619,-1.63939359383,-1.11901606265,0.592168487571,0.988090873741,1.11913480808,1.05759665407
380,0.259641824114,-207.012421483,-1.52369183344,-1.04715879268,0.592168487571,1.1353365523,1.31740733193,1.25348764483
382,0.202902365281,-187.889738594,-1.41451371928,-0.973089077462,0.592168487571,1.31861745046,1.56501189276,1.4905537915
384,0.158163375907,-170.848846293,-1.31356918783,-0.895262390472,0.592168487571,1.53818648317,1.86442369795,1.75924603032
386,0.117953932637,-153.040388327,-1.21293683249,-0.82460582234,0.592168487571,1.84755127577,2.30846528021,2.17278191307
388,0.0855397264101,-138.75901408,-1.1114719638,-0.758298860635,0.592168487571,2.30991614809,2.91694501981,2.75521003837
390,0.045379858795,-127.959068974,-1.01800985388,-0.70140903272,0.592168487571,4.01523342245,5.0360082106,4.80386041556
