Intercept SE,Slope SE,310 nm,320 nm,330 nm,340 nm
none,none,0.620631444972,0.604969988523,0.642141597529,0.470468067767
none,plus,0.625656683772,0.609081240659,0.639386692669,0.468201338432
none,minus,0.615613124187,0.60086453054,0.644889629767,0.47272898305
plus,none,0.627372778682,0.610515585438,0.638870913025,0.467832262971
plus,plus,0.63240844268,0.614635342247,0.636105643745,0.465556792365
plus,minus,0.62234403423,0.606401656436,0.64162956186,0.470102113
minus,none,0.613905595714,0.599436678303,0.645396268482,0.473090497645
minus,plus,0.618920414814,0.603539475953,0.642652086404,0.470832783309
minus,minus,0.608897693692,0.595339640864,0.648133317371,0.475342198104
