Beginning of Correction Region,310 nm Ratio,320 nm Ratio,330 nm Ratio,340 nm Ratio,310 nm,320 nm,330 nm,340 nm
350,1.00475126807,-2.15965113187,-1.87336827554,-1.16183903446,0.418601399614,0.423335204154,0.646014814463,0.542179107893
352,1.01746806764,-2.14648409319,-1.85608436267,-1.16454401154,0.418601399614,0.415495412875,0.632054900172,0.536649212602
354,0.985407432091,-2.07779304836,-1.82651411677,-1.15590983512,0.418601399614,0.415284577234,0.64222185199,0.55000103111
356,0.97996080113,-2.01813012623,-1.79020542853,-1.14169946935,0.418601399614,0.405601739273,0.632953848193,0.546258833935
358,0.974595384534,-1.93089616843,-1.72288062466,-1.11079929121,0.418601399614,0.390205977169,0.612503698718,0.534400212074
360,0.929458458285,-1.798454799,-1.66028727923,-1.07878249333,0.418601399614,0.38109117365,0.618915181091,0.544200935815
362,0.858681346197,-1.69687788588,-1.58572296801,-1.0384791445,0.418601399614,0.389204549854,0.639842622954,0.567049704994
364,0.778854043295,-1.58918257227,-1.50590552481,-0.998591160313,0.418601399614,0.401862111772,0.669914729446,0.601155765518
366,0.718875064219,-1.48400836781,-1.42590859841,-0.964161929244,0.418601399614,0.40657650435,0.687252213695,0.628857055363
368,0.647275608068,-1.35357591644,-1.34724017178,-0.919760007506,0.418601399614,0.411862948622,0.721163373513,0.66625527221
370,0.552813091497,-1.2559236228,-1.26398396861,-0.877253895001,0.418601399614,0.447449736979,0.792211468851,0.74405041639
372,0.528738128605,-1.14128771345,-1.19356611539,-0.840602348739,0.418601399614,0.42512227339,0.78213861919,0.74542739225
374,0.496777924112,-1.02104935911,-1.10413607153,-0.794700413995,0.418601399614,0.40480306851,0.770084157279,0.75006090417
376,0.432664158092,-0.88417915414,-1.02501332419,-0.754522414234,0.418601399614,0.402484072782,0.820836141197,0.817667251546
378,0.385436462439,-0.756905540407,-0.945834303346,-0.717784057327,0.418601399614,0.386765951713,0.850237279521,0.873165141547
380,0.325727292881,-0.639248448564,-0.870188367223,-0.684617713785,0.418601399614,0.386522589123,0.925629106012,0.985483506619
382,0.256817929082,-0.528519017684,-0.804385130919,-0.645035768136,0.418601399614,0.405316820075,1.08521696251,1.17764349128
384,0.197586660632,-0.405790569968,-0.740089972007,-0.599927186491,0.418601399614,0.404486169256,1.29779105737,1.42362727448
386,0.174276239457,-0.29938355819,-0.674995438592,-0.566637771874,0.418601399614,0.338336702885,1.34196298455,1.52448346808
388,0.126310132929,-0.206427966406,-0.615185600439,-0.529143065196,0.418601399614,0.321876810489,1.68750803038,1.96422075061
390,0.0759240561027,-0.124400979331,-0.562076417133,-0.499313117129,0.418601399614,0.322703551527,2.56503822589,3.08353549515
