Shift LUT?,Intercept SE, Slope SE, Ex LUT Interpolation, Em LUT Interpolation,Ex LUT Split, Em LUT Split, Constant Diode, Start of Correction Region, 310 nm, 320 nm, 330 nm, 340 nm
False,none,none,linear,cubic,none,none,False,350,0.435309074754,0.472536161825,0.603769729469,0.443396299286
False,none,none,linear,cubic,none,none,True,350,0.419178230912,0.46665397915,0.608691796265,0.434409769137
False,none,none,linear,cubic,none,even,False,350,0.441755472513,0.472542281877,0.603065857324,0.445891655007
False,none,none,linear,cubic,none,even,True,350,0.425427026761,0.466680317931,0.608011133103,0.436874755437
False,none,none,linear,cubic,none,odd,False,350,0.430343830145,0.472508173795,0.60290977255,0.440319777695
False,none,none,linear,cubic,none,odd,True,350,0.414380038408,0.466604872686,0.607799180892,0.431374621884
False,none,none,linear,cubic,even,none,False,350,0.435309074754,0.472536161825,0.603769729469,0.443396299286
False,none,none,linear,cubic,even,none,True,350,0.419178230912,0.46665397915,0.608691796265,0.434409769137
False,none,none,linear,cubic,even,even,False,350,0.441755472513,0.472542281877,0.603065857324,0.445891655007
False,none,none,linear,cubic,even,even,True,350,0.425427026761,0.466680317931,0.608011133103,0.436874755437
False,none,none,linear,cubic,even,odd,False,350,0.430343830145,0.472508173795,0.60290977255,0.440319777695
False,none,none,linear,cubic,even,odd,True,350,0.414380038408,0.466604872686,0.607799180892,0.431374621884
False,none,none,linear,cubic,odd,none,False,350,0.435309074754,0.472536161825,0.603769729469,0.443396299286
False,none,none,linear,cubic,odd,none,True,350,0.419178230912,0.46665397915,0.608691796265,0.434409769137
False,none,none,linear,cubic,odd,even,False,350,0.441755472513,0.472542281877,0.603065857324,0.445891655007
False,none,none,linear,cubic,odd,even,True,350,0.425427026761,0.466680317931,0.608011133103,0.436874755437
False,none,none,linear,cubic,odd,odd,False,350,0.430343830145,0.472508173795,0.60290977255,0.440319777695
False,none,none,linear,cubic,odd,odd,True,350,0.414380038408,0.466604872686,0.607799180892,0.431374621884
False,none,none,slinear,linear,none,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,slinear,linear,none,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,slinear,linear,none,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,slinear,linear,none,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,slinear,linear,none,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,slinear,linear,none,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,slinear,linear,even,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,slinear,linear,even,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,slinear,linear,even,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,slinear,linear,even,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,slinear,linear,even,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,slinear,linear,even,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,slinear,linear,odd,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,slinear,linear,odd,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,slinear,linear,odd,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,slinear,linear,odd,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,slinear,linear,odd,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,slinear,linear,odd,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,slinear,slinear,none,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,slinear,slinear,none,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,slinear,slinear,none,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,slinear,slinear,none,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,slinear,slinear,none,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,slinear,slinear,none,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,slinear,slinear,even,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,slinear,slinear,even,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,slinear,slinear,even,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,slinear,slinear,even,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,slinear,slinear,even,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,slinear,slinear,even,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,slinear,slinear,odd,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,slinear,slinear,odd,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,slinear,slinear,odd,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,slinear,slinear,odd,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,slinear,slinear,odd,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,slinear,slinear,odd,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,slinear,quadratic,none,none,False,350,0.435388668048,0.472556246531,0.603726295649,0.443410682014
False,none,none,slinear,quadratic,none,none,True,350,0.419253610884,0.46667354634,0.608647959881,0.43442348935
False,none,none,slinear,quadratic,none,even,False,350,0.441714129122,0.472550556425,0.602956257275,0.445850612608
False,none,none,slinear,quadratic,none,even,True,350,0.425387853668,0.466688397079,0.607900218065,0.436834556874
False,none,none,slinear,quadratic,none,odd,False,350,0.430374798231,0.472267996536,0.602909397633,0.440185918351
False,none,none,slinear,quadratic,none,odd,True,350,0.414410093421,0.466367994498,0.607799134742,0.431244105674
False,none,none,slinear,quadratic,even,none,False,350,0.435388668048,0.472556246531,0.603726295649,0.443410682014
False,none,none,slinear,quadratic,even,none,True,350,0.419253610884,0.46667354634,0.608647959881,0.43442348935
False,none,none,slinear,quadratic,even,even,False,350,0.441714129122,0.472550556425,0.602956257275,0.445850612608
False,none,none,slinear,quadratic,even,even,True,350,0.425387853668,0.466688397079,0.607900218065,0.436834556874
False,none,none,slinear,quadratic,even,odd,False,350,0.430374798231,0.472267996536,0.602909397633,0.440185918351
False,none,none,slinear,quadratic,even,odd,True,350,0.414410093421,0.466367994498,0.607799134742,0.431244105674
False,none,none,slinear,quadratic,odd,none,False,350,0.435388668048,0.472556246531,0.603726295649,0.443410682014
False,none,none,slinear,quadratic,odd,none,True,350,0.419253610884,0.46667354634,0.608647959881,0.43442348935
False,none,none,slinear,quadratic,odd,even,False,350,0.441714129122,0.472550556425,0.602956257275,0.445850612608
False,none,none,slinear,quadratic,odd,even,True,350,0.425387853668,0.466688397079,0.607900218065,0.436834556874
False,none,none,slinear,quadratic,odd,odd,False,350,0.430374798231,0.472267996536,0.602909397633,0.440185918351
False,none,none,slinear,quadratic,odd,odd,True,350,0.414410093421,0.466367994498,0.607799134742,0.431244105674
False,none,none,slinear,cubic,none,none,False,350,0.435309074754,0.472536161825,0.603769729469,0.443396299286
False,none,none,slinear,cubic,none,none,True,350,0.419178230912,0.46665397915,0.608691796265,0.434409769137
False,none,none,slinear,cubic,none,even,False,350,0.441755472513,0.472542281877,0.603065857324,0.445891655007
False,none,none,slinear,cubic,none,even,True,350,0.425427026761,0.466680317931,0.608011133103,0.436874755437
False,none,none,slinear,cubic,none,odd,False,350,0.430343830145,0.472508173795,0.60290977255,0.440319777695
False,none,none,slinear,cubic,none,odd,True,350,0.414380038408,0.466604872686,0.607799180892,0.431374621884
False,none,none,slinear,cubic,even,none,False,350,0.435309074754,0.472536161825,0.603769729469,0.443396299286
False,none,none,slinear,cubic,even,none,True,350,0.419178230912,0.46665397915,0.608691796265,0.434409769137
False,none,none,slinear,cubic,even,even,False,350,0.441755472513,0.472542281877,0.603065857324,0.445891655007
False,none,none,slinear,cubic,even,even,True,350,0.425427026761,0.466680317931,0.608011133103,0.436874755437
False,none,none,slinear,cubic,even,odd,False,350,0.430343830145,0.472508173795,0.60290977255,0.440319777695
False,none,none,slinear,cubic,even,odd,True,350,0.414380038408,0.466604872686,0.607799180892,0.431374621884
False,none,none,slinear,cubic,odd,none,False,350,0.435309074754,0.472536161825,0.603769729469,0.443396299286
False,none,none,slinear,cubic,odd,none,True,350,0.419178230912,0.46665397915,0.608691796265,0.434409769137
False,none,none,slinear,cubic,odd,even,False,350,0.441755472513,0.472542281877,0.603065857324,0.445891655007
False,none,none,slinear,cubic,odd,even,True,350,0.425427026761,0.466680317931,0.608011133103,0.436874755437
False,none,none,slinear,cubic,odd,odd,False,350,0.430343830145,0.472508173795,0.60290977255,0.440319777695
False,none,none,slinear,cubic,odd,odd,True,350,0.414380038408,0.466604872686,0.607799180892,0.431374621884
False,none,none,quadratic,linear,none,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,quadratic,linear,none,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,quadratic,linear,none,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,quadratic,linear,none,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,quadratic,linear,none,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,quadratic,linear,none,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,quadratic,linear,even,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
False,none,none,quadratic,linear,even,none,True,350,0.41975062028,0.466063152526,0.607758341556,0.434151975922
False,none,none,quadratic,linear,even,even,False,350,0.442331408805,0.470703945598,0.601053678642,0.4452656658
False,none,none,quadratic,linear,even,even,True,350,0.425973744326,0.464851654868,0.605965895521,0.436248745441
False,none,none,quadratic,linear,even,odd,False,350,0.431768328188,0.469334473168,0.599866664021,0.439298943997
False,none,none,quadratic,linear,even,odd,True,350,0.415743247096,0.463455044371,0.604712659164,0.430362673713
False,none,none,quadratic,linear,odd,none,False,350,0.43590268999,0.471941252302,0.602846934096,0.443136279613
