Ex LUT Splitting,Em LUT Splitting,310 nm,320 nm,330 nm,340 nm
none,none,0.620631444972,0.604969988523,0.642141597529,0.470468067767
none,even,0.631534886355,0.604760435824,0.641973543404,0.473526871049
none,odd,0.613457989115,0.605549470031,0.641639098397,0.467423456107
even,none,0.620631444972,0.604969988523,0.642141597529,0.470468067767
even,even,0.631534886355,0.604760435824,0.641973543404,0.473526871049
even,odd,0.613457989115,0.605549470031,0.641639098397,0.467423456107
odd,none,0.620631444972,0.604969988523,0.642141597529,0.470468067767
odd,even,0.631534886355,0.604760435824,0.641973543404,0.473526871049
odd,odd,0.613457989115,0.605549470031,0.641639098397,0.467423456107
