Shift LUT?,Intercept SE, Slope SE, Ex LUT Interpolation, Em LUT Interpolation,Ex LUT Split, Em LUT Split, Constant Diode, 310 nm, 320 nm, 330 nm, 340 nm
False,none,none,slinear,cubic,even,odd,True,0.565630433283,0.56434224779,0.655429705709,0.447728439591
False,none,none,slinear,cubic,odd,none,False,0.588178821859,0.566034530085,0.645500431829,0.45567311057
False,none,none,slinear,cubic,odd,none,True,0.572211611336,0.564133966773,0.65601491203,0.450638112401
False,none,none,slinear,cubic,odd,even,False,0.597178983349,0.566448438869,0.645301426368,0.458615566611
False,none,none,slinear,cubic,odd,even,True,0.580999387992,0.564548533098,0.655820991814,0.453550286594
False,none,none,slinear,cubic,odd,odd,False,0.581411371188,0.566246790155,0.644928985983,0.452734491815
False,none,none,slinear,cubic,odd,odd,True,0.565630433283,0.56434224779,0.655429705709,0.447728439591
False,none,none,quadratic,linear,none,none,False,0.589006245633,0.565386946502,0.644635275565,0.455490078658
False,none,none,quadratic,linear,none,none,True,0.57302138377,0.563487876053,0.655136051996,0.450456476353
False,none,none,quadratic,linear,none,even,False,0.597898735322,0.564161026423,0.643124176651,0.457965640221
False,none,none,quadratic,linear,none,even,True,0.581706484746,0.562268784838,0.653608332843,0.452907119039
False,none,none,quadratic,linear,none,odd,False,0.583614099436,0.562500158138,0.641841271963,0.451821428311
False,none,none,quadratic,linear,none,odd,True,0.567776455347,0.560604165494,0.652288364598,0.446824920323
False,none,none,quadratic,linear,even,none,False,0.589006245633,0.565386946502,0.644635275565,0.455490078658
False,none,none,quadratic,linear,even,none,True,0.57302138377,0.563487876053,0.655136051996,0.450456476353
False,none,none,quadratic,linear,even,even,False,0.597898735322,0.564161026423,0.643124176651,0.457965640221
False,none,none,quadratic,linear,even,even,True,0.581706484746,0.562268784838,0.653608332843,0.452907119039
False,none,none,quadratic,linear,even,odd,False,0.583614099436,0.562500158138,0.641841271963,0.451821428311
False,none,none,quadratic,linear,even,odd,True,0.567776455347,0.560604165494,0.652288364598,0.446824920323
False,none,none,quadratic,linear,odd,none,False,0.589006245633,0.565386946502,0.644635275565,0.455490078658
False,none,none,quadratic,linear,odd,none,True,0.57302138377,0.563487876053,0.655136051996,0.450456476353
False,none,none,quadratic,linear,odd,even,False,0.597898735322,0.564161026423,0.643124176651,0.457965640221
False,none,none,quadratic,linear,odd,even,True,0.581706484746,0.562268784838,0.653608332843,0.452907119039
False,none,none,quadratic,linear,odd,odd,False,0.583614099436,0.562500158138,0.641841271963,0.451821428311
False,none,none,quadratic,linear,odd,odd,True,0.567776455347,0.560604165494,0.652288364598,0.446824920323
False,none,none,quadratic,slinear,none,none,False,0.589006245633,0.565386946502,0.644635275565,0.455490078658
False,none,none,quadratic,slinear,none,none,True,0.57302138377,0.563487876053,0.655136051996,0.450456476353
False,none,none,quadratic,slinear,none,even,False,0.597898735322,0.564161026423,0.643124176651,0.457965640221
False,none,none,quadratic,slinear,none,even,True,0.581706484746,0.562268784838,0.653608332843,0.452907119039
