Ex LUT Splitting,Em LUT Splitting,350 nm,360 nm,370 nm,380 nm
none,none,0.749749282164,0.759332660439,0.728144030321,0.766502357151
none,even,0.7498136246,0.76325035714,0.724105881281,0.766523484287
none,odd,0.749364655534,0.748897384124,0.732856151,0.766070497094
even,none,0.749749282164,0.759332660439,0.728144030321,0.766502357151
even,even,0.7498136246,0.76325035714,0.724105881281,0.766523484287
even,odd,0.749364655534,0.748897384124,0.732856151,0.766070497094
odd,none,0.749749282164,0.759332660439,0.728144030321,0.766502357151
odd,even,0.7498136246,0.76325035714,0.724105881281,0.766523484287
odd,odd,0.749364655534,0.748897384124,0.732856151,0.766070497094
