Intercept SE,Slope SE,350 nm,360 nm,370 nm,380 nm
none,none,0.751488343562,0.756022390162,0.730785533899,0.753709081016
none,plus,0.749119046977,0.75582091419,0.732948363972,0.754621695356
none,minus,0.753858410988,0.756223472734,0.728622512556,0.752795979379
plus,none,0.748565645719,0.75571915096,0.733327898497,0.754740241248
plus,plus,0.74619743424,0.755517022181,0.735490212449,0.755652007846
plus,minus,0.750934627266,0.755920880983,0.731165382273,0.7538279792
minus,none,0.754412538996,0.756324640461,0.728242233754,0.752676607888
minus,plus,0.752042156124,0.756123809581,0.730405564074,0.753590058236
minus,minus,0.756783693478,0.756525083212,0.726078722988,0.751762678265
