Ex LUT Splitting,Em LUT Splitting,0.04 mM,0.43 mM,4.3 mM
none,none,1.02182024787,1.19150371628,1.21417899854
none,even,1.02818137193,1.19888420596,1.22162915645
none,odd,1.01583674139,1.18435622444,1.20692472434
even,none,1.02182024787,1.19150371628,1.21417899854
even,even,1.02818137193,1.19888420596,1.22162915645
even,odd,1.01583674139,1.18435622444,1.20692472434
odd,none,1.02182024787,1.19150371628,1.21417899854
odd,even,1.02818137193,1.19888420596,1.22162915645
odd,odd,1.01583674139,1.18435622444,1.20692472434
