Intercept SE,Slope SE,0.04 mM,0.43 mM,4.3 mM
none,none,1.02182024787,1.19150371628,1.21417899854
none,plus,0.999741735084,1.1678906734,1.18828716273
none,minus,1.04423491408,1.21548551256,1.24050881148
plus,none,0.984814213185,1.15214121153,1.17136789754
plus,plus,0.963324136822,1.12916240204,1.14622421136
plus,minus,1.00662669872,1.17547385939,1.19693035217
minus,none,1.05992117771,1.23202738833,1.25835654164
minus,plus,1.03722863439,1.20775266717,1.23168145281
minus,minus,1.08296442341,1.25668666113,1.28549004084
