Shift LUT?,Intercept SE,Slope SE,Ex LUT Interpolation,Em LUT Interpolation,Ex LUT Split,Em LUT Split,Constant Diode,Start of Correction Region,0.04 mM,0.43 mM,4.3 mM
False,none,none,linear,cubic,even,even,True,370,1.032985324,1.19945920683,1.22202287169
False,none,none,linear,cubic,even,odd,False,370,1.02149967032,1.18697086287,1.20846960659
False,none,none,linear,cubic,even,odd,True,370,1.02068239101,1.18494256244,1.20749308619
False,none,none,linear,cubic,odd,none,False,370,1.02747645186,1.19411388349,1.21559864489
False,none,none,linear,cubic,odd,none,True,370,1.02665409126,1.19207432553,1.21462826417
False,none,none,linear,cubic,odd,even,False,370,1.03380712241,1.20151661182,1.22299117148
False,none,none,linear,cubic,odd,even,True,370,1.032985324,1.19945920683,1.22202287169
False,none,none,linear,cubic,odd,odd,False,370,1.02149967032,1.18697086287,1.20846960659
False,none,none,linear,cubic,odd,odd,True,370,1.02068239101,1.18494256244,1.20749308619
False,none,none,slinear,linear,none,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,slinear,linear,none,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,slinear,linear,none,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,slinear,linear,none,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,slinear,linear,none,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,slinear,linear,none,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,slinear,linear,even,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,slinear,linear,even,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,slinear,linear,even,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,slinear,linear,even,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,slinear,linear,even,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,slinear,linear,even,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,slinear,linear,odd,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,slinear,linear,odd,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,slinear,linear,odd,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,slinear,linear,odd,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,slinear,linear,odd,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,slinear,linear,odd,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,slinear,slinear,none,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,slinear,slinear,none,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,slinear,slinear,none,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,slinear,slinear,none,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,slinear,slinear,none,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,slinear,slinear,none,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,slinear,slinear,even,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,slinear,slinear,even,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,slinear,slinear,even,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,slinear,slinear,even,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,slinear,slinear,even,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,slinear,slinear,even,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,slinear,slinear,odd,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,slinear,slinear,odd,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,slinear,slinear,odd,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,slinear,slinear,odd,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,slinear,slinear,odd,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,slinear,slinear,odd,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,slinear,quadratic,none,none,False,370,1.02750629888,1.19413135402,1.21560727322
False,none,none,slinear,quadratic,none,none,True,370,1.02668364491,1.19209168161,1.21463719507
False,none,none,slinear,quadratic,none,even,False,370,1.03401747837,1.20177519894,1.22321587097
False,none,none,slinear,quadratic,none,even,True,370,1.03319695825,1.19971791188,1.22224873528
False,none,none,slinear,quadratic,none,odd,False,370,1.02157916187,1.18711032762,1.2085632831
False,none,none,slinear,quadratic,none,odd,True,370,1.02076179316,1.18508146639,1.20758672138
False,none,none,slinear,quadratic,even,none,False,370,1.02750629888,1.19413135402,1.21560727322
False,none,none,slinear,quadratic,even,none,True,370,1.02668364491,1.19209168161,1.21463719507
False,none,none,slinear,quadratic,even,even,False,370,1.03401747837,1.20177519894,1.22321587097
False,none,none,slinear,quadratic,even,even,True,370,1.03319695825,1.19971791188,1.22224873528
False,none,none,slinear,quadratic,even,odd,False,370,1.02157916187,1.18711032762,1.2085632831
False,none,none,slinear,quadratic,even,odd,True,370,1.02076179316,1.18508146639,1.20758672138
False,none,none,slinear,quadratic,odd,none,False,370,1.02750629888,1.19413135402,1.21560727322
False,none,none,slinear,quadratic,odd,none,True,370,1.02668364491,1.19209168161,1.21463719507
False,none,none,slinear,quadratic,odd,even,False,370,1.03401747837,1.20177519894,1.22321587097
False,none,none,slinear,quadratic,odd,even,True,370,1.03319695825,1.19971791188,1.22224873528
False,none,none,slinear,quadratic,odd,odd,False,370,1.02157916187,1.18711032762,1.2085632831
False,none,none,slinear,quadratic,odd,odd,True,370,1.02076179316,1.18508146639,1.20758672138
False,none,none,slinear,cubic,none,none,False,370,1.02747645186,1.19411388349,1.21559864489
False,none,none,slinear,cubic,none,none,True,370,1.02665409126,1.19207432553,1.21462826417
False,none,none,slinear,cubic,none,even,False,370,1.03380712241,1.20151661182,1.22299117148
False,none,none,slinear,cubic,none,even,True,370,1.032985324,1.19945920683,1.22202287169
False,none,none,slinear,cubic,none,odd,False,370,1.02149967032,1.18697086287,1.20846960659
False,none,none,slinear,cubic,none,odd,True,370,1.02068239101,1.18494256244,1.20749308619
False,none,none,slinear,cubic,even,none,False,370,1.02747645186,1.19411388349,1.21559864489
False,none,none,slinear,cubic,even,none,True,370,1.02665409126,1.19207432553,1.21462826417
False,none,none,slinear,cubic,even,even,False,370,1.03380712241,1.20151661182,1.22299117148
False,none,none,slinear,cubic,even,even,True,370,1.032985324,1.19945920683,1.22202287169
False,none,none,slinear,cubic,even,odd,False,370,1.02149967032,1.18697086287,1.20846960659
False,none,none,slinear,cubic,even,odd,True,370,1.02068239101,1.18494256244,1.20749308619
False,none,none,slinear,cubic,odd,none,False,370,1.02747645186,1.19411388349,1.21559864489
False,none,none,slinear,cubic,odd,none,True,370,1.02665409126,1.19207432553,1.21462826417
False,none,none,slinear,cubic,odd,even,False,370,1.03380712241,1.20151661182,1.22299117148
False,none,none,slinear,cubic,odd,even,True,370,1.032985324,1.19945920683,1.22202287169
False,none,none,slinear,cubic,odd,odd,False,370,1.02149967032,1.18697086287,1.20846960659
False,none,none,slinear,cubic,odd,odd,True,370,1.02068239101,1.18494256244,1.20749308619
False,none,none,quadratic,linear,none,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,quadratic,linear,none,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,quadratic,linear,none,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,quadratic,linear,none,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,quadratic,linear,none,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,quadratic,linear,none,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,quadratic,linear,even,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,quadratic,linear,even,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,quadratic,linear,even,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,quadratic,linear,even,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,quadratic,linear,even,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,quadratic,linear,even,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,quadratic,linear,odd,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,quadratic,linear,odd,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,quadratic,linear,odd,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,quadratic,linear,odd,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,quadratic,linear,odd,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,quadratic,linear,odd,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,quadratic,slinear,none,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,quadratic,slinear,none,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,quadratic,slinear,none,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,quadratic,slinear,none,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,quadratic,slinear,none,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,quadratic,slinear,none,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,quadratic,slinear,even,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,quadratic,slinear,even,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,quadratic,slinear,even,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,quadratic,slinear,even,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,quadratic,slinear,even,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,quadratic,slinear,even,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,quadratic,slinear,odd,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,quadratic,slinear,odd,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,quadratic,slinear,odd,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,quadratic,slinear,odd,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,quadratic,slinear,odd,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,quadratic,slinear,odd,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,quadratic,quadratic,none,none,False,370,1.02750629888,1.19413135402,1.21560727322
False,none,none,quadratic,quadratic,none,none,True,370,1.02668364491,1.19209168161,1.21463719507
False,none,none,quadratic,quadratic,none,even,False,370,1.03401747837,1.20177519894,1.22321587097
False,none,none,quadratic,quadratic,none,even,True,370,1.03319695825,1.19971791188,1.22224873528
False,none,none,quadratic,quadratic,none,odd,False,370,1.02157916187,1.18711032762,1.2085632831
False,none,none,quadratic,quadratic,none,odd,True,370,1.02076179316,1.18508146639,1.20758672138
False,none,none,quadratic,quadratic,even,none,False,370,1.02750629888,1.19413135402,1.21560727322
False,none,none,quadratic,quadratic,even,none,True,370,1.02668364491,1.19209168161,1.21463719507
False,none,none,quadratic,quadratic,even,even,False,370,1.03401747837,1.20177519894,1.22321587097
False,none,none,quadratic,quadratic,even,even,True,370,1.03319695825,1.19971791188,1.22224873528
False,none,none,quadratic,quadratic,even,odd,False,370,1.02157916187,1.18711032762,1.2085632831
False,none,none,quadratic,quadratic,even,odd,True,370,1.02076179316,1.18508146639,1.20758672138
False,none,none,quadratic,quadratic,odd,none,False,370,1.02750629888,1.19413135402,1.21560727322
False,none,none,quadratic,quadratic,odd,none,True,370,1.02668364491,1.19209168161,1.21463719507
False,none,none,quadratic,quadratic,odd,even,False,370,1.03401747837,1.20177519894,1.22321587097
False,none,none,quadratic,quadratic,odd,even,True,370,1.03319695825,1.19971791188,1.22224873528
False,none,none,quadratic,quadratic,odd,odd,False,370,1.02157916187,1.18711032762,1.2085632831
False,none,none,quadratic,quadratic,odd,odd,True,370,1.02076179316,1.18508146639,1.20758672138
False,none,none,quadratic,cubic,none,none,False,370,1.02747645186,1.19411388349,1.21559864489
False,none,none,quadratic,cubic,none,none,True,370,1.02665409126,1.19207432553,1.21462826417
False,none,none,quadratic,cubic,none,even,False,370,1.03380712241,1.20151661182,1.22299117148
False,none,none,quadratic,cubic,none,even,True,370,1.032985324,1.19945920683,1.22202287169
False,none,none,quadratic,cubic,none,odd,False,370,1.02149967032,1.18697086287,1.20846960659
False,none,none,quadratic,cubic,none,odd,True,370,1.02068239101,1.18494256244,1.20749308619
False,none,none,quadratic,cubic,even,none,False,370,1.02747645186,1.19411388349,1.21559864489
False,none,none,quadratic,cubic,even,none,True,370,1.02665409126,1.19207432553,1.21462826417
False,none,none,quadratic,cubic,even,even,False,370,1.03380712241,1.20151661182,1.22299117148
False,none,none,quadratic,cubic,even,even,True,370,1.032985324,1.19945920683,1.22202287169
False,none,none,quadratic,cubic,even,odd,False,370,1.02149967032,1.18697086287,1.20846960659
False,none,none,quadratic,cubic,even,odd,True,370,1.02068239101,1.18494256244,1.20749308619
False,none,none,quadratic,cubic,odd,none,False,370,1.02747645186,1.19411388349,1.21559864489
False,none,none,quadratic,cubic,odd,none,True,370,1.02665409126,1.19207432553,1.21462826417
False,none,none,quadratic,cubic,odd,even,False,370,1.03380712241,1.20151661182,1.22299117148
False,none,none,quadratic,cubic,odd,even,True,370,1.032985324,1.19945920683,1.22202287169
False,none,none,quadratic,cubic,odd,odd,False,370,1.02149967032,1.18697086287,1.20846960659
False,none,none,quadratic,cubic,odd,odd,True,370,1.02068239101,1.18494256244,1.20749308619
False,none,none,cubic,linear,none,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,cubic,linear,none,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,cubic,linear,none,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,cubic,linear,none,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,cubic,linear,none,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,cubic,linear,none,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,cubic,linear,even,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,cubic,linear,even,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,cubic,linear,even,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,cubic,linear,even,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,cubic,linear,even,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,cubic,linear,even,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,cubic,linear,odd,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,cubic,linear,odd,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,cubic,linear,odd,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,cubic,linear,odd,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,cubic,linear,odd,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,cubic,linear,odd,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,cubic,slinear,none,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,cubic,slinear,none,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,cubic,slinear,none,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,cubic,slinear,none,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,cubic,slinear,none,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,cubic,slinear,none,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,cubic,slinear,even,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,cubic,slinear,even,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,cubic,slinear,even,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,cubic,slinear,even,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,cubic,slinear,even,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,cubic,slinear,even,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,cubic,slinear,odd,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,cubic,slinear,odd,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,cubic,slinear,odd,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,cubic,slinear,odd,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,cubic,slinear,odd,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,cubic,slinear,odd,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,cubic,quadratic,none,none,False,370,1.02750629888,1.19413135402,1.21560727322
False,none,none,cubic,quadratic,none,none,True,370,1.02668364491,1.19209168161,1.21463719507
False,none,none,cubic,quadratic,none,even,False,370,1.03401747837,1.20177519894,1.22321587097
False,none,none,cubic,quadratic,none,even,True,370,1.03319695825,1.19971791188,1.22224873528
False,none,none,cubic,quadratic,none,odd,False,370,1.02157916187,1.18711032762,1.2085632831
False,none,none,cubic,quadratic,none,odd,True,370,1.02076179316,1.18508146639,1.20758672138
False,none,none,cubic,quadratic,even,none,False,370,1.02750629888,1.19413135402,1.21560727322
False,none,none,cubic,quadratic,even,none,True,370,1.02668364491,1.19209168161,1.21463719507
False,none,none,cubic,quadratic,even,even,False,370,1.03401747837,1.20177519894,1.22321587097
False,none,none,cubic,quadratic,even,even,True,370,1.03319695825,1.19971791188,1.22224873528
False,none,none,cubic,quadratic,even,odd,False,370,1.02157916187,1.18711032762,1.2085632831
False,none,none,cubic,quadratic,even,odd,True,370,1.02076179316,1.18508146639,1.20758672138
False,none,none,cubic,quadratic,odd,none,False,370,1.02750629888,1.19413135402,1.21560727322
False,none,none,cubic,quadratic,odd,none,True,370,1.02668364491,1.19209168161,1.21463719507
False,none,none,cubic,quadratic,odd,even,False,370,1.03401747837,1.20177519894,1.22321587097
False,none,none,cubic,quadratic,odd,even,True,370,1.03319695825,1.19971791188,1.22224873528
False,none,none,cubic,quadratic,odd,odd,False,370,1.02157916187,1.18711032762,1.2085632831
False,none,none,cubic,quadratic,odd,odd,True,370,1.02076179316,1.18508146639,1.20758672138
False,none,none,cubic,cubic,none,none,False,370,1.02747645186,1.19411388349,1.21559864489
False,none,none,cubic,cubic,none,none,True,370,1.02665409126,1.19207432553,1.21462826417
False,none,none,cubic,cubic,none,even,False,370,1.03380712241,1.20151661182,1.22299117148
False,none,none,cubic,cubic,none,even,True,370,1.032985324,1.19945920683,1.22202287169
False,none,none,cubic,cubic,none,odd,False,370,1.02149967032,1.18697086287,1.20846960659
False,none,none,cubic,cubic,none,odd,True,370,1.02068239101,1.18494256244,1.20749308619
False,none,none,cubic,cubic,even,none,False,370,1.02747645186,1.19411388349,1.21559864489
False,none,none,cubic,cubic,even,none,True,370,1.02665409126,1.19207432553,1.21462826417
False,none,none,cubic,cubic,even,even,False,370,1.03380712241,1.20151661182,1.22299117148
False,none,none,cubic,cubic,even,even,True,370,1.032985324,1.19945920683,1.22202287169
False,none,none,cubic,cubic,even,odd,False,370,1.02149967032,1.18697086287,1.20846960659
False,none,none,cubic,cubic,even,odd,True,370,1.02068239101,1.18494256244,1.20749308619
False,none,none,cubic,cubic,odd,none,False,370,1.02747645186,1.19411388349,1.21559864489
False,none,none,cubic,cubic,odd,none,True,370,1.02665409126,1.19207432553,1.21462826417
False,none,none,cubic,cubic,odd,even,False,370,1.03380712241,1.20151661182,1.22299117148
False,none,none,cubic,cubic,odd,even,True,370,1.032985324,1.19945920683,1.22202287169
False,none,none,cubic,cubic,odd,odd,False,370,1.02149967032,1.18697086287,1.20846960659
False,none,none,cubic,cubic,odd,odd,True,370,1.02068239101,1.18494256244,1.20749308619
False,none,none,linear,linear,none,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,linear,linear,none,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,linear,linear,none,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,linear,linear,none,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,linear,linear,none,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,linear,linear,none,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,linear,linear,even,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,linear,linear,even,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,linear,linear,even,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,linear,linear,even,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,linear,linear,even,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,linear,linear,even,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,linear,linear,odd,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,linear,linear,odd,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,linear,linear,odd,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,linear,linear,odd,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,linear,linear,odd,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,linear,linear,odd,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,linear,slinear,none,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,linear,slinear,none,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,linear,slinear,none,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,linear,slinear,none,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,linear,slinear,none,odd,False,370,1.02348249592,1.18937871442,1.21075749328
False,none,none,linear,slinear,none,odd,True,370,1.02266347192,1.18734543281,1.20978454928
False,none,none,linear,slinear,even,none,False,370,1.02784982784,1.19451330576,1.21595425228
False,none,none,linear,slinear,even,none,True,370,1.02702602854,1.1924726015,1.21498481614
False,none,none,linear,slinear,even,even,False,370,1.03602156632,1.20418781049,1.22554339592
False,none,none,linear,slinear,even,even,True,370,1.03520457909,1.20212758467,1.22457868307
False,none,none,linear,slinear,even,odd,False,370,1.02348249592,1.18937871442,1.21075749328
